created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Apr 04 08:28:09 +0000 2019,1.11371989382255E+018,"Jakarta, CNN Indonesia -- Sultan Brunei Darussalam meminta warganya untuk memperkuat ajaran Islam jelang pemberlakuan hukum syariat baru termasuk hukum rajam sampai mati untuk kaum LGBT dan perzinaan di negara itu pada hari ini, Rabu (3/4). https://t.co/alQXC0E0Kw",0,0,1,0,in,1.10384548754151E+018,1.11371989382255E+018,HariMochammad,https://twitter.com/HariMochammad/status/1113719893822558208
Tue Apr 02 05:45:17 +0000 2019,1.11295413329466E+018,"Brunei Darussalam mulai memberlakukan Hukuman Mati berupa Cambuk dan Rajam bagi kaum LGBT di negaranya.  Meski banyak ditentang oleh negara lain, Brunei menilai hukuman ini sudah sesuai syariat Islam karena LGBT sangat berdampak secara kesehatan dan kehidupan. #TELLTOTELL",0,0,0,0,in,174903078,1.11295413329466E+018,1071klitefm,https://twitter.com/1071klitefm/status/1112954133294665728
Mon Apr 01 05:45:02 +0000 2019,1.11259168350434E+018,Dunia kecam penerapan syariat Islam di Brunei Darussalam https://t.co/jDCONmw1Lb,0,0,0,0,in,354168059,1.11259168350434E+018,alineadotid,https://twitter.com/alineadotid/status/1112591683504340993
Wed Jan 04 04:33:34 +0000 2017,8.16502809193422E+017,@jokowi satu hal yg di pegang Brunei Darussalam sehingga terus di berkahi oleh Allah SWT yaitu mrk meggunakan hukum Syariat Islam,0,0,0,0,in,3312742176,8.16502809193422E+017,WilaZakaria,https://twitter.com/WilaZakaria/status/816502809193422848
Tue Jun 28 15:00:11 +0000 2016,7.47806807901474E+017,arakah. Kata itu agaknya paling tepat untuk menggambarkan penerapan syariat Islam di Brunei Darussalam. Setelah... https://t.co/jBIMBTVNpb,0,0,0,0,in,604706667,7.47806807901474E+017,Miftahul_Furqan,https://twitter.com/Miftahul_Furqan/status/747806807901474816
Tue May 10 00:57:05 +0000 2016,7.29837632201449E+017,kampung nelayan di Brunei Darussalam ... ber- Syariat Islam nih Brunei =)) https://t.co/k4d49D7yeT,0,0,2,1,in,351134369,7.29837632201449E+017,__anomali__,https://twitter.com/__anomali__/status/729837632201449473
Thu Apr 14 10:50:41 +0000 2016,7.20564928705245E+017,Syariat Islam di Brunei Darussalam https://t.co/aW9UIIBr7k lewat @tribunnews,0,0,0,0,in,635621454,7.20564928705245E+017,Ariinka,https://twitter.com/Ariinka/status/720564928705245184
Mon Mar 07 06:11:07 +0000 2016,7.06723837434527E+017,Barakah. Kata itu agaknya paling tepat untuk menggambarkan penerapan syariat Islam di Brunei Darussalam. Setelah... https://t.co/VRVtNRYAYJ,0,0,0,0,in,1121974129,7.06723837434527E+017,WeLoveTHM,https://twitter.com/WeLoveTHM/status/706723837434527745
Mon Mar 07 05:56:06 +0000 2016,7.06720059209572E+017,Barakah. Kata itu agaknya paling tepat untuk menggambarkan penerapan syariat Islam di Brunei Darussalam. Setelah... https://t.co/vo4KAyA4fR,0,0,0,0,in,717937754,7.06720059209572E+017,DesahanTante,https://twitter.com/DesahanTante/status/706720059209572353
Mon Mar 07 05:44:07 +0000 2016,7.067170400321E+017,Barakah. Kata itu agaknya paling tepat untuk menggambarkan penerapan syariat Islam di Brunei Darussalam. Setelah... https://t.co/wuACGXb6Hn,0,0,0,0,in,1121974129,7.067170400321E+017,WeLoveTHM,https://twitter.com/WeLoveTHM/status/706717040032100352
